Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Symbol
2025-10-08 20:30:00,4520.98,4521.11,4500.18,4503.66,3454.427,2025-10-08 20:59:59.999,15583751.32736,45287,1400.1929,6317764.358528,ETHUSDT
2025-10-08 21:00:00,4503.65,4526.18,4502.16,4522.89,2386.1073,2025-10-08 21:29:59.999,10772198.208923,35524,1552.3994,7009793.037084,ETHUSDT
2025-10-08 21:30:00,4522.89,4527.77,4514.62,4525.59,2089.2976,2025-10-08 21:59:59.999,9448262.91124,26470,1178.7311,5330941.525208,ETHUSDT
2025-10-08 22:00:00,4525.6,4539.31,4522.55,4525.37,5702.2677,2025-10-08 22:29:59.999,25820629.317639,60025,1986.144,8997876.351102,ETHUSDT
2025-10-08 22:30:00,4525.37,4530.01,4521.31,4521.32,1418.4744,2025-10-08 22:59:59.999,6420010.47193,27008,808.2918,3658711.97437,ETHUSDT
2025-10-08 23:00:00,4521.31,4532.0,4509.45,4531.88,3098.2286,2025-10-08 23:29:59.999,14000092.381664,40107,1647.1982,7445015.782424,ETHUSDT
2025-10-08 23:30:00,4531.88,4537.55,4523.53,4525.72,2863.8529,2025-10-08 23:59:59.999,12974693.134263,34570,1509.4739,6839455.195428,ETHUSDT
2025-10-09 00:00:00,4525.72,4531.52,4514.28,4519.17,3686.5114,2025-10-09 00:29:59.999,16669694.746134,60829,1837.052,8305785.258644,ETHUSDT
2025-10-09 00:30:00,4519.18,4522.71,4507.92,4511.29,3299.2915,2025-10-09 00:59:59.999,14898013.358899,58063,1342.9619,6065108.138949,ETHUSDT
2025-10-09 01:00:00,4511.28,4514.01,4475.02,4481.52,23750.6692,2025-10-09 01:29:59.999,106772272.651691,120020,4804.8569,21585012.478929,ETHUSDT
2025-10-09 01:30:00,4481.52,4481.52,4463.01,4478.99,12756.7237,2025-10-09 01:59:59.999,57051494.526784,89093,5641.7796,25234442.341584,ETHUSDT
2025-10-09 02:00:00,4478.99,4481.5,4441.5,4447.45,13039.8424,2025-10-09 02:29:59.999,58100859.201882,106891,4643.187,20698551.148547,ETHUSDT
2025-10-09 02:30:00,4447.45,4453.14,4398.17,4412.82,24582.9039,2025-10-09 02:59:59.999,108666564.501397,168048,8494.1442,37563380.626274,ETHUSDT
2025-10-09 03:00:00,4412.82,4444.6,4412.05,4440.85,8134.1784,2025-10-09 03:29:59.999,36049325.638463,81164,4622.9552,20486886.816358,ETHUSDT
2025-10-09 03:30:00,4440.85,4453.32,4436.96,4450.8,5930.0645,2025-10-09 03:59:59.999,26367380.380928,49884,3011.4057,13390077.171662,ETHUSDT
2025-10-09 04:00:00,4450.8,4458.5,4438.49,4457.27,7083.1204,2025-10-09 04:29:59.999,31528467.023559,58205,3290.7876,14647510.317667,ETHUSDT
2025-10-09 04:30:00,4457.28,4457.74,4444.37,4455.04,5591.9008,2025-10-09 04:59:59.999,24890031.9878,43938,2428.481,10809136.435263,ETHUSDT
2025-10-09 05:00:00,4455.05,4460.0,4437.73,4447.0,6041.2298,2025-10-09 05:29:59.999,26873753.763027,43714,2266.9325,10087205.80412,ETHUSDT
2025-10-09 05:30:00,4447.0,4455.0,4441.61,4454.69,3200.1093,2025-10-09 05:59:59.999,14237417.500336,41170,1657.7791,7376715.33416,ETHUSDT
2025-10-09 06:00:00,4454.69,4454.69,4423.86,4434.36,12066.8552,2025-10-09 06:29:59.999,53572736.7653,67851,3682.9327,16345097.424259,ETHUSDT
2025-10-09 06:30:00,4434.36,4444.18,4424.79,4429.55,4978.7544,2025-10-09 06:59:59.999,22078313.464015,53518,1944.6072,8624728.442592,ETHUSDT
2025-10-09 07:00:00,4429.56,4434.8,4419.0,4424.4,4210.682,2025-10-09 07:29:59.999,18643044.907744,59625,2083.6671,9226038.636257,ETHUSDT
2025-10-09 07:30:00,4424.39,4437.5,4411.0,4426.6,10119.6715,2025-10-09 07:59:59.999,44748241.974287,66329,5745.7547,25410486.703233,ETHUSDT
2025-10-09 08:00:00,4426.6,4426.69,4336.37,4340.43,35732.1381,2025-10-09 08:29:59.999,156355492.267923,218896,14891.7577,65149442.898873,ETHUSDT
2025-10-09 08:30:00,4340.43,4360.1,4320.0,4328.0,28112.2989,2025-10-09 08:59:59.999,122035095.929664,215028,14001.3293,60789069.183309,ETHUSDT
2025-10-09 09:00:00,4328.01,4356.66,4325.9,4351.02,12721.8106,2025-10-09 09:29:59.999,55267298.732599,142967,7845.7662,34091695.595584,ETHUSDT
2025-10-09 09:30:00,4351.01,4353.57,4331.12,4334.82,17442.9025,2025-10-09 09:59:59.999,75742339.936086,108870,8142.1895,35373870.136206,ETHUSDT
2025-10-09 10:00:00,4334.82,4348.68,4324.28,4329.65,15113.1612,2025-10-09 10:29:59.999,65546417.164379,95990,7822.3542,33945186.88545,ETHUSDT
2025-10-09 10:30:00,4329.65,4358.48,4329.65,4354.7,10053.7699,2025-10-09 10:59:59.999,43730570.260018,104264,5989.7296,26057440.130606,ETHUSDT
2025-10-09 11:00:00,4354.69,4376.14,4354.13,4374.63,8906.2559,2025-10-09 11:29:59.999,38865165.66803,86767,4625.5877,20188705.274586,ETHUSDT
2025-10-09 11:30:00,4374.64,4387.15,4366.83,4373.05,7403.4469,2025-10-09 11:59:59.999,32410905.009514,94077,3888.683,17025642.178603,ETHUSDT
2025-10-09 12:00:00,4373.06,4391.99,4369.63,4383.97,8142.2254,2025-10-09 12:29:59.999,35686502.929633,90827,4367.7489,19146671.18663,ETHUSDT
2025-10-09 12:30:00,4383.96,4413.76,4378.0,4404.37,14314.5454,2025-10-09 12:59:59.999,62991430.774547,141141,7842.7458,34516925.340446,ETHUSDT
2025-10-09 13:00:00,4404.37,4407.39,4386.08,4398.77,7194.5328,2025-10-09 13:29:59.999,31623913.3862,100225,2956.4878,12993787.496122,ETHUSDT
2025-10-09 13:30:00,4398.77,4398.77,4347.14,4350.81,18910.7387,2025-10-09 13:59:59.999,82683202.88249,272418,9019.5454,39431559.217424,ETHUSDT
2025-10-09 14:00:00,4350.81,4374.83,4335.99,4341.51,17855.1404,2025-10-09 14:29:59.999,77729491.712675,247279,10886.61,47393716.064943,ETHUSDT
2025-10-09 14:30:00,4341.5,4347.69,4305.73,4344.88,21706.6799,2025-10-09 14:59:59.999,93885555.678469,262378,10654.6937,46092614.026271,ETHUSDT
2025-10-09 15:00:00,4344.89,4363.5,4313.62,4315.98,12158.5483,2025-10-09 15:29:59.999,52786497.821397,166799,5742.2558,24940495.407847,ETHUSDT
2025-10-09 15:30:00,4316.07,4325.0,4291.82,4314.79,19477.1639,2025-10-09 15:59:59.999,83854707.851441,199995,8887.8353,38287908.643427,ETHUSDT
2025-10-09 16:00:00,4314.78,4327.9,4292.87,4308.14,11438.1023,2025-10-09 16:29:59.999,49298427.003743,164217,6219.4381,26803968.526285,ETHUSDT
2025-10-09 16:30:00,4308.15,4309.03,4265.06,4277.34,20590.8112,2025-10-09 16:59:59.999,88302818.478669,200981,8809.0095,37786249.871513,ETHUSDT
2025-10-09 17:00:00,4277.34,4317.09,4269.11,4301.68,12547.226,2025-10-09 17:29:59.999,53909806.504102,188668,7042.2021,30271664.627468,ETHUSDT
2025-10-09 17:30:00,4301.68,4335.9,4301.31,4334.4,8537.0344,2025-10-09 17:59:59.999,36862690.482579,118302,5094.9352,22001610.165423,ETHUSDT
2025-10-09 18:00:00,4334.4,4340.62,4320.04,4325.59,7698.9066,2025-10-09 18:29:59.999,33339443.596961,106901,3637.2249,15754158.253214,ETHUSDT
2025-10-09 18:30:00,4325.6,4327.43,4301.05,4308.24,6734.9079,2025-10-09 18:59:59.999,29038791.462157,70814,2454.3674,10578852.079097,ETHUSDT
2025-10-09 19:00:00,4308.23,4335.6,4307.21,4334.67,4623.8644,2025-10-09 19:29:59.999,19985353.520442,88624,2490.9259,10766605.404509,ETHUSDT
2025-10-09 19:30:00,4334.68,4344.33,4323.7,4338.0,5229.8545,2025-10-09 19:59:59.999,22657369.913139,80920,2436.6521,10558595.152245,ETHUSDT
2025-10-09 20:00:00,4338.03,4347.48,4327.89,4329.14,2911.9648,2025-10-09 20:29:59.999,12629970.701136,71037,1024.124,4443442.305814,ETHUSDT
2025-10-09 20:30:00,4329.14,4345.33,4329.13,4337.46,5281.8914,2025-10-09 20:59:59.999,22915224.715061,59973,3229.0339,14010846.965772,ETHUSDT
2025-10-09 21:00:00,4337.45,4358.81,4335.91,4351.0,5324.9438,2025-10-09 21:29:59.999,23159379.377714,53747,3829.9204,16660286.237157,ETHUSDT
